C: Cluster	Razor Protein
cluster 3	Q9JI75
cluster 3	Q9CWT3
cluster 3	Q91X72
cluster 3	P06151
cluster 3	E9Q555
cluster 3	G3X982
cluster 3	Q810A3
cluster 3b	P62983
cluster 3b	Q9R0P5
cluster 3b	Q9QZ85
cluster 3b	Q91X83
cluster 3b	O35609
cluster 3b	Q8CDN6
cluster 3b	Q9JKV1
cluster 3b	Q8BW75
cluster 3b	Q05920
cluster 3b	Q01853
cluster 3b	O35490
cluster 3b	P10126
cluster 4	WP_014930931.1
cluster 4	Q91V80
cluster 4	Q8VDM4
cluster 4	P25444
cluster 4	P12790
cluster 4	P24547
cluster 4	Q9DD20
cluster 4	Q9DC29
cluster 4	Q8R0Y6
